,Commit#,Author,Message,Time,Changed Files,Additions,Deletions,Parents,Number of Comments,Timezone
10,eeef9a629262aedb2f68128f1ee8e7d82354df63,zdevito,Update README.md with docker image. (#11),2017-09-09 00:42:01,README.md,10,0,fbc294eeda722f6d06b119ef7542d2e9ae52bdc0,0,-7
11,72dbfc698234b2aa0754b39fd2597e8a1d70aad8,houseroad,Add GPU support docker image description,2017-09-12 04:35:15,README.md,5,2,5353964212212357b08e43f9989b52a0fdc0a81d,0,-7
12,1c7ff6e49f9684abc6454aa9c6159246d3a60617,bddppq,"Merge pull request #17 from houseroad/master

Add GPU support docker image description",2017-09-12 16:54:15,README.md,5,2,5353964212212357b08e43f9989b52a0fdc0a81d 72dbfc698234b2aa0754b39fd2597e8a1d70aad8,0,-7
13,d8548f57bd6ba71af5c7cb5267f7f589a090fbdf,bddppq,Add onnx.__version__,2017-09-12 17:26:39,setup.py onnx/__init__.py,22,1,5353964212212357b08e43f9989b52a0fdc0a81d,0,-7
14,d300e1610b80d4ac8b9984d7608e70becf5309ed,bddppq,add git version,2017-09-12 20:07:30,setup.py,9,2,d8548f57bd6ba71af5c7cb5267f7f589a090fbdf,0,-7
15,27988c1dbfdf96e3897dc6421c1a2bac943d5477,bddppq,Fix imports in numpy_helper,2017-09-12 23:29:33,onnx/numpy_helper.py,5,0,1c7ff6e49f9684abc6454aa9c6159246d3a60617,0,-7
16,4ba4d433f65f8f18db987e5069ba39b03ee1aa2e,bddppq,"Merge pull request #20 from bddppq/pr/fix_numpy_helper_import

Fix imports in numpy_helper",2017-09-12 23:34:50,onnx/numpy_helper.py,5,0,1c7ff6e49f9684abc6454aa9c6159246d3a60617 27988c1dbfdf96e3897dc6421c1a2bac943d5477,0,-7
17,fce3939343919d006b71bf6902c2727591a741fd,Yangqing,"Merge pull request #19 from bddppq/pr/__version__

Add onnx.__version__",2017-09-13 16:53:25,setup.py onnx/__init__.py,29,1,d300e1610b80d4ac8b9984d7608e70becf5309ed 4ba4d433f65f8f18db987e5069ba39b03ee1aa2e,0,-7
18,b1b63cab1623ef955dfb60cc15678e87755dcb2f,bddppq,Add python3 CI,2017-09-14 06:34:35,.travis.yml .travis/install.sh,3,7,fce3939343919d006b71bf6902c2727591a741fd,0,-7
19,40a0f6b14f548f72d6b46f9dd84b77716e6b9911,bddppq,"Merge pull request #22 from bddppq/pr/py3-CI

Add python3 CI",2017-09-14 06:47:13,.travis.yml .travis/install.sh,3,7,b1b63cab1623ef955dfb60cc15678e87755dcb2f fce3939343919d006b71bf6902c2727591a741fd,0,-7
20,d1810a44dd5d7b418e5a881eb976934443df0555,houseroad,Add cleanup option to the docker run commands,2017-09-14 18:38:55,README.md,2,2,40a0f6b14f548f72d6b46f9dd84b77716e6b9911,0,-7
21,ced1b662e2efe4a8ace673938ed6a771406ca3e5,bddppq,"Merge pull request #23 from houseroad/master

Add cleanup option to the docker run commands",2017-09-14 18:46:15,README.md,2,2,40a0f6b14f548f72d6b46f9dd84b77716e6b9911 d1810a44dd5d7b418e5a881eb976934443df0555,0,-7
22,e41fd009968793f688e92bbfb47db2e3a955c8f5,ebarsoum,Update OPs doc,2017-09-15 20:38:09,onnx/defs/nn/defs.cc,15,11,ced1b662e2efe4a8ace673938ed6a771406ca3e5,0,-7
23,624bda4508ee412cc2bcac3f433f065cbbd15751,bddppq,Fix the issue that version.py is not created in development install,2017-09-15 21:00:17,setup.py,8,0,ced1b662e2efe4a8ace673938ed6a771406ca3e5,0,-7
24,a8f9452e10bcf4e023434631c2d72659ded9548e,bddppq,"Merge pull request #29 from bddppq/pr/fix-develop-install

Fix the issue that version.py is not created in development install",2017-09-15 21:13:30,setup.py,8,0,ced1b662e2efe4a8ace673938ed6a771406ca3e5 624bda4508ee412cc2bcac3f433f065cbbd15751,0,-7
25,cd9f35674b25223a52cd75643054e51023429128,ebarsoum,Merge branch 'master' into ebarsoum/minorfixes,2017-09-15 21:15:33,setup.py,8,0,e41fd009968793f688e92bbfb47db2e3a955c8f5 a8f9452e10bcf4e023434631c2d72659ded9548e,0,-7
26,23e66a6da79ffc108f8f3c78a749d7a360735b54,ebarsoum,Update OPs doc,2017-09-15 21:18:14,docs/Operators.md,9,9,cd9f35674b25223a52cd75643054e51023429128,0,-7
27,e9d33ae248e581dfd09d8f5ae64417aae61f7fa9,bddppq,Add support for making tensor with raw data,2017-09-15 22:22:24,onnx/helper.py,18,9,a8f9452e10bcf4e023434631c2d72659ded9548e,0,-7
28,8d6c9f2c0be9ad23fe9f54d103f8d6c19652bacb,ebarsoum,Add back optional input to the convolution.,2017-09-16 02:00:10,onnx/defs/nn/defs.cc,1,1,23e66a6da79ffc108f8f3c78a749d7a360735b54,0,-7
29,663c7435835cd4935daa16269d8d880ab1ce4d36,bddppq,"Merge pull request #30 from onnx/ebarsoum/minorfixes

Fix pool and conv doc",2017-09-16 02:17:32,onnx/defs/nn/defs.cc docs/Operators.md,23,19,a8f9452e10bcf4e023434631c2d72659ded9548e 8d6c9f2c0be9ad23fe9f54d103f8d6c19652bacb,0,-7
30,d864f5be731d37416a1d6168838bbe09821998ac,bddppq,raise error in case data_type is unrecognized,2017-09-16 04:23:53,onnx/helper.py,2,0,e9d33ae248e581dfd09d8f5ae64417aae61f7fa9,0,-7
31,b3b550566be256d7bd1e840ed3af5ae278b98662,bddppq,Merge branch 'master' into pr/make-raw-data-tensor,2017-09-17 03:30:56,onnx/defs/nn/defs.cc docs/Operators.md,23,19,d864f5be731d37416a1d6168838bbe09821998ac 663c7435835cd4935daa16269d8d880ab1ce4d36,0,-7
32,f8bb91609a561157fc27268817fecc328cf858ca,bddppq,Add docstring for `helper.make_tensor` function,2017-09-17 03:38:02,onnx/helper.py,7,0,b3b550566be256d7bd1e840ed3af5ae278b98662,0,-7
33,367516446e5ee903ae0fd857104153e6457a1105,bddppq,"Merge pull request #31 from bddppq/pr/make-raw-data-tensor

Add support for making tensor with raw data",2017-09-17 03:39:28,onnx/helper.py,27,9,f8bb91609a561157fc27268817fecc328cf858ca 663c7435835cd4935daa16269d8d880ab1ce4d36,0,-7
34,1f8089e9006d8d19ee1a98505d4e2d44e9838e71,ebarsoum,Move Constant from experiment.,2017-09-18 21:12:58,onnx/defs/generator/defs.cc onnx/defs/experiments/defs.cc,12,13,367516446e5ee903ae0fd857104153e6457a1105,0,-7
35,6502dd4ef4c579c22024da77ab6096d61812a84b,ebarsoum,Update the doc.,2017-09-18 21:16:44,docs/Operators.md,17,1,1f8089e9006d8d19ee1a98505d4e2d44e9838e71,0,-7
36,7f583291c1a93bf6eb36875190b88b5424733886,ebarsoum,"Merge pull request #32 from onnx/ebarsoum/constant

Move constant from experiment to core.",2017-09-18 21:45:27,onnx/defs/generator/defs.cc docs/Operators.md onnx/defs/experiments/defs.cc,29,14,367516446e5ee903ae0fd857104153e6457a1105 6502dd4ef4c579c22024da77ab6096d61812a84b,0,-7
37,308e06c81c6b6c87feb9c8f31acc8147e0c452ab,prasanthpul,Clarify that Markdown is allowed for doc_strings,2017-09-19 18:13:01,onnx/onnx.proto,2,2,7f583291c1a93bf6eb36875190b88b5424733886,0,-7
38,87a6e6d243c11dd561a5bf77b118467f1a2796df,prasanthpul,Update ir.md to clarify markdown is allowed for doc_strings,2017-09-19 18:19:54,docs/IR.md,1,1,308e06c81c6b6c87feb9c8f31acc8147e0c452ab,0,-7
39,37f91b24ad6772a97b6624c8e6ea9fdba05a8874,bddppq,"Merge pull request #36 from onnx/prasanthpul-patch-1

Clarify that Markdown is allowed for doc_strings",2017-09-19 18:23:40,onnx/onnx.proto docs/IR.md,3,3,7f583291c1a93bf6eb36875190b88b5424733886 87a6e6d243c11dd561a5bf77b118467f1a2796df,0,-7
40,9d10abfe3845b5d8d4781d2b7620391e99aa406e,bddppq,"Add support for making attribute with TensorProto as value (#37)

also fixes the bug of using plural ""graph"" field to store singular GraphProto value",2017-09-19 19:46:01,onnx/helper.py,4,3,37f91b24ad6772a97b6624c8e6ea9fdba05a8874,0,-7
41,8d1de7463d8918e7b5553d703076b95b4d42d7b8,ezyang,"Make printable_graph more deterministic across Python versions.

Signed-off-by: Edward Z. Yang <ezyang@fb.com>",2017-09-19 19:56:04,onnx/helper.py,20,5,9d10abfe3845b5d8d4781d2b7620391e99aa406e,0,-7
42,d8b23b67f12affa0c424c01f91090f4c9686c284,bddppq,"Create backend test

Credit belongs to @ezyang",2017-09-19 20:03:01,onnx/backend/test_util.py onnx/backend/test.py,125,0,9d10abfe3845b5d8d4781d2b7620391e99aa406e,0,-7
43,9c05baa8798cce1d9cbbd590f75492273fd91440,bddppq,Update pytest tests search directory,2017-09-19 21:17:10,setup.cfg,1,1,d8b23b67f12affa0c424c01f91090f4c9686c284,0,-7
44,e556e1c2f791721b2924701615cff51edcfe80c9,bddppq,"Merge pull request #35 from opedge/elu-alpha

Add 'alpha' attribute to Elu operator schema",2017-09-19 21:57:56,onnx/test/elu_test.py docs/Operators.md onnx/defs/math/defs.cc,26,2,8d1de7463d8918e7b5553d703076b95b4d42d7b8 7d12127614b9bbf525c1cd6fe4fefe53f9b4b90a,0,-7
45,797ba90ff456d4fd400765f1ddd50ee87a31b084,prasanthpul,Indicate operator documentation is auto generated,2017-09-20 01:01:18,onnx/defs/gen_doc.py,1,0,e556e1c2f791721b2924701615cff51edcfe80c9,0,-7
46,3d2be4ac08933e5380008f4328020dc44e3b4d63,bddppq,"Merge pull request #39 from onnx/pr/backend-test

Create backend test",2017-09-20 03:26:28,onnx/backend/test_util.py setup.cfg onnx/backend/test.py,126,1,9c05baa8798cce1d9cbbd590f75492273fd91440 797ba90ff456d4fd400765f1ddd50ee87a31b084,0,-7
47,f0a1fa2bf3eb8b78998cb95ca74b709b4b602ef0,bddppq,Add models tests to backend test,2017-09-20 16:37:16,onnx/backend/test.py,78,11,3d2be4ac08933e5380008f4328020dc44e3b4d63,0,-7
48,10b9cf854c9b677152a3e1779620d5f65b82fce0,gramalingam,clarified that name is a required field in an attribute,2017-09-20 20:20:43,onnx/onnx.proto,2,1,fdefeed7753b704a274e1d8e634f5af7e25205b6,0,-7
49,fdefeed7753b704a274e1d8e634f5af7e25205b6,brettkoonce,minor spelling tweaks,2017-09-20 23:24:10,onnx/defs/nn/defs.cc,3,3,3d2be4ac08933e5380008f4328020dc44e3b4d63,0,-7
50,3fbb7d7d0f4c3402c27ad4e0bf7efa550377bf20,bddppq,"Merge pull request #45 from bddppq/pr/add-models-test

Add models tests to backend test",2017-09-21 20:17:40,onnx/backend/test.py,78,11,10b9cf854c9b677152a3e1779620d5f65b82fce0 f0a1fa2bf3eb8b78998cb95ca74b709b4b602ef0,0,-7
51,f28047aa02e6d5af095433a60055281269dedcee,bddppq,"Fix np.load failure in python3 when loading numerical data serialized in python2

https://travis-ci.org/onnx/onnx-caffe2/jobs/278346399#L1998",2017-09-22 03:59:05,onnx/backend/test.py,1,1,f0a1fa2bf3eb8b78998cb95ca74b709b4b602ef0,0,-7
52,1e01bee476c96c9202410048dfbf50113869b05c,bddppq,"Merge pull request #46 from bddppq/pr/fix-py3-np.load

Fix np.load failure in python3 when loading numerical data serialized in python2",2017-09-22 04:55:42,onnx/backend/test.py,1,1,f28047aa02e6d5af095433a60055281269dedcee 3fbb7d7d0f4c3402c27ad4e0bf7efa550377bf20,0,-7
53,13d7a7e0f4d4b1ab83b0c66b520c3835e5f2e482,bddppq,Add Gemm as an experimental operator,2017-09-22 07:12:54,onnx/defs/experiments/defs.cc,25,0,ff0cb84c4f9e99207582ad8e2392bc84860062df,0,-7
54,8cd1533fd79940f4dbac541f53e433904cf0ba82,yuanbyu,Resurrect type and shape,2017-09-23 21:44:18,onnx/onnx.proto,72,9,1e01bee476c96c9202410048dfbf50113869b05c,0,-7
55,e02da6e921d953c2dab10085c4e3f763f8c2de03,yuanbyu,Moved type and shape info of values to graph.,2017-09-26 19:45:07,onnx/onnx.proto,12,21,8cd1533fd79940f4dbac541f53e433904cf0ba82,0,-7
56,7ab22815583eb353a24a3390867640ab0eb20754,yuanbyu,Moved type and shape info of values to graph.,2017-09-26 19:59:56,onnx/helper.py,1,0,e02da6e921d953c2dab10085c4e3f763f8c2de03,0,-7
57,d446a650084f432bff7a6e59318714679720f9c8,yuanbyu,Moved type and shape info of values to graph. Fixed helper.py,2017-09-26 20:35:38,onnx/helper.py,5,3,7ab22815583eb353a24a3390867640ab0eb20754,0,-7
58,23912a3f282b224527b1f5b69a68829b0dd763f1,yuanbyu,Moved type and shape info of values to graph. Fixed helper.py(1),2017-09-26 20:50:22,onnx/helper.py,2,4,d446a650084f432bff7a6e59318714679720f9c8,0,-7
59,52359e04f43b8717da555b19c06c55921abd20b5,yuanbyu,Moved type and shape info of values to graph. Fixed helper.py(2),2017-09-26 20:55:18,onnx/helper.py,2,1,23912a3f282b224527b1f5b69a68829b0dd763f1,0,-7
60,0225b54cc105e70108677f3562e19676cae3f255,gramalingam,"Merge pull request #49 from onnx/rama/initializer-input

clarified documentation of initializers",2017-09-26 20:57:09,onnx/onnx.proto,7,5,555c9374071d9e16b7c2310bf0ac02f20986dc46 1e01bee476c96c9202410048dfbf50113869b05c,0,-7
61,49959d0a785704edbb707946becb13a541470b7d,bddppq,"Unmark Gemm as experimental and make input tensor C broadcastable

also regenerated the operators doc",2017-09-27 06:20:57,docs/Operators.md onnx/defs/experiments/defs.cc onnx/defs/gen_doc.py onnx/defs/math/defs.cc,65,29,13d7a7e0f4d4b1ab83b0c66b520c3835e5f2e482,0,-7
62,bfeeb3de32c57cf523ce06dc7a36b6db6d8ed934,ezyang,"ONNX builds for Mac OS X.

Signed-off-by: Edward Z. Yang <ezyang@fb.com>",2017-09-27 20:12:24,setup.py conda/build.sh,5,1,0225b54cc105e70108677f3562e19676cae3f255,0,-4
63,f0c26d40c492451d4989243cdf077dd61e5a9f24,yuanbyu,Moved type and shape info of values to graph. Avoid field id reuse,2017-09-27 20:57:44,onnx/onnx.proto,12,12,52359e04f43b8717da555b19c06c55921abd20b5,0,-7
64,07a9c2b7ea246345446761329558b1edfb86b96a,donbox,"BREAKING CHANGE: Reordered fields of GraphProto to enable streaming implementations to read version info first. (#58)

Move versions related fields out from GraphProto to ModelProto

Credits belong to @donbox",2017-09-27 23:00:44,onnx/checker.py onnx/test/helper_test.py onnx/__init__.py onnx/onnx.proto onnx/helper.py onnx/test/basic_test.py,102,59,0225b54cc105e70108677f3562e19676cae3f255,0,-7
65,aa26ee54f3d30f2e0e592620147536eae89d64df,bddppq,Merge branch 'master' into typeshape,2017-09-27 23:09:44,onnx/checker.py onnx/test/helper_test.py onnx/__init__.py onnx/onnx.proto onnx/helper.py onnx/test/basic_test.py,110,64,07a9c2b7ea246345446761329558b1edfb86b96a f0c26d40c492451d4989243cdf077dd61e5a9f24,0,-7
66,bc9856b7f9430f7d5747484ffaf6be06f9c01245,donbox,"Added double and UINT64 support to Tensor for mlmodel compat.
Added UINT32 for completeness.",2017-09-28 11:10:54,onnx/onnx.proto,11,0,aa26ee54f3d30f2e0e592620147536eae89d64df,0,-7
67,68773a884fe97fbf97f52063cd5503e2583840b9,ezyang,"Ignore autogenerated version.py file.

Signed-off-by: Edward Z. Yang <ezyang@fb.com>",2017-09-28 15:03:13,.gitignore,3,0,0225b54cc105e70108677f3562e19676cae3f255,0,-7
68,2b74c8d31af73f97185bc5f243671783154a89a0,bddppq,"Merge pull request #64 from onnx/pr/ignore-version

Ignore autogenerated version.py file.",2017-09-28 15:24:44,.gitignore,3,0,07a9c2b7ea246345446761329558b1edfb86b96a 68773a884fe97fbf97f52063cd5503e2583840b9,0,-7
69,d84e810edb88438dc8c1b71d701b57b5894c30ee,houseroad,Update the onnx-docker repository,2017-09-28 16:49:35,README.md,2,2,2b74c8d31af73f97185bc5f243671783154a89a0,0,-7
70,ff0cb84c4f9e99207582ad8e2392bc84860062df,dzhulgakov,"Merge pull request #65 from houseroad/update_docker

Update the onnx-docker repository",2017-09-28 18:48:26,README.md,2,2,d84e810edb88438dc8c1b71d701b57b5894c30ee 2b74c8d31af73f97185bc5f243671783154a89a0,0,-7
71,6190388eb4a40ca59166dc0e84c1bfce81651cd7,bddppq,Follow up fixes for moving out version fields from GraphProto to ModelProto,2017-09-28 21:45:08,onnx/backend/base.py onnx/test/helper_test.py onnx/checker.py onnx/helper.py,27,11,2b74c8d31af73f97185bc5f243671783154a89a0,0,-7
72,b17e54a632e73be4871df22704e8fe61ba0d8986,bddppq,"Merge pull request #66 from bddppq/pr/fix-bc

Follow up fixes for moving out version fields from GraphProto to ModelProto",2017-09-29 02:48:37,onnx/backend/base.py onnx/test/helper_test.py onnx/checker.py onnx/helper.py,27,11,49959d0a785704edbb707946becb13a541470b7d 6190388eb4a40ca59166dc0e84c1bfce81651cd7,0,-7
73,da030c12508a4ef0bf0b8903f8b27a8cc2d3be82,donbox,"Added record, sequence, union, and map values to represent any protobuf value without requiring type information/.proto files to parse.

Added types for above to be used for AT LEAST declaring attributes on operators or subgraphs and likely for parameter values as well.",2017-09-29 04:36:10,onnx/onnx.proto,129,21,bc9856b7f9430f7d5747484ffaf6be06f9c01245,0,-7
74,a9040e76eb1f281be8122a720b2ceea51f04d72a,donbox,Removed optional modifiers from oneof fields.,2017-10-01 01:38:14,onnx/onnx.proto,7,7,da030c12508a4ef0bf0b8903f8b27a8cc2d3be82,0,-7
75,5ebf971529748f852f7c1550a755299f45d50b9e,donbox,Fixed field ordering,2017-10-01 01:52:05,onnx/onnx.proto,5,5,a9040e76eb1f281be8122a720b2ceea51f04d72a,0,-7
76,22a66714fa2bc2c1e3cdf2c5c7af477d8282ab47,donbox,Fixed NameValuePairProto reference,2017-10-01 01:58:10,onnx/onnx.proto,1,1,5ebf971529748f852f7c1550a755299f45d50b9e,0,-7
77,71b50f92a3906a794193357a2bccef97ff285c0e,donbox,Fixed remaining PB build breaks,2017-10-01 02:04:58,onnx/onnx.proto,1,1,22a66714fa2bc2c1e3cdf2c5c7af477d8282ab47,0,-7
78,6d5a8aed130b27063c35928d5fd999157c0ba0b1,donbox,Reverted deprecation of AttributeProto to supress CI noise,2017-10-01 02:14:13,onnx/onnx.proto,24,1,71b50f92a3906a794193357a2bccef97ff285c0e,0,-7
79,d6153f3718912b499b4ac4eed30bff1ff8d77685,donbox,Added non-DNN clause to TypeProto,2017-10-02 22:45:35,onnx/onnx.proto,5,0,6d5a8aed130b27063c35928d5fd999157c0ba0b1,0,-7
80,b9ba48d1cfb08ee207a1321a898d6785aac675ad,donbox,Merge branch 'dbox/add_map_sequence_record' of https://github.com/onnx/onnx into dbox/add_map_sequence_record,2017-10-02 22:45:57,onnx/onnx.proto,2,2,d6153f3718912b499b4ac4eed30bff1ff8d77685 b3bcbde89b127399f8b8d31011cb5192292d1dff,0,-7
81,9870105672b37dc96c0bf0069adc10fe94d8f616,donbox,Removed shape proto from map and sequence types in anticpation of move of shape to TensorTypeProto,2017-10-02 22:57:20,onnx/onnx.proto,0,2,b9ba48d1cfb08ee207a1321a898d6785aac675ad,0,-7
82,bbfad7dc9c2426655eed035f215f35d3b16f7656,yuanbyu,"Resurrect type and shape (#51)

Credits belong to @yuanbyu!

* Resurrect type and shape

* Moved type and shape info of values to graph.

* Moved type and shape info of values to graph.

* Moved type and shape info of values to graph. Fixed helper.py

* Moved type and shape info of values to graph. Fixed helper.py(1)

* Moved type and shape info of values to graph. Fixed helper.py(2)

* Moved type and shape info of values to graph. Avoid field id reuse

* Pushed TensorShapeProto into TensorTypeProto

* Pushed TensorShapeProto into TensorTypeProto and SparseTensorTypeProto

* Add a helper for ValueInfoProto

* Add a helper for ValueInfoProto (1)

* Add a helper for ValueInfoProto (2)

* Add a helper for ValueInfoProto (3)

* Add a helper for ValueInfoProto (4)

* Add a helper for creating ValueInfoProto",2017-10-03 03:14:02,onnx/onnx.proto onnx/test/helper_test.py onnx/helper.py,98,26,b17e54a632e73be4871df22704e8fe61ba0d8986,0,-7
83,e525955dc7da13e3feac5cd79abcc9fc67f55fab,bddppq,"Rename variable names from ""graph"" to ""model""

This is a follow up cleanup for 07a9c2b",2017-10-03 04:42:37,onnx/backend/test.py,8,8,bbfad7dc9c2426655eed035f215f35d3b16f7656,0,-7
84,587bb3efe530822a5d227ef7ba7144dc396c116d,houseroad,Add pad operator,2017-10-03 15:14:17,onnx/defs/tensor/defs.cc,37,0,e525955dc7da13e3feac5cd79abcc9fc67f55fab,0,-4
85,3c6b22d0b791b5685455bf2a4377dd2381fffe4c,donbox,Merge branch 'master' into dbox/add_map_sequence_record,2017-10-03 15:44:55,onnx/backend/base.py .gitignore onnx/checker.py README.md onnx/test/helper_test.py onnx/defs/gen_doc.py onnx/onnx.proto docs/Operators.md onnx/helper.py onnx/defs/math/defs.cc onnx/backend/test.py,148,63,e525955dc7da13e3feac5cd79abcc9fc67f55fab 9870105672b37dc96c0bf0069adc10fe94d8f616,0,-7
86,d8e5ff7766fe61bf82eddf8f8c2a4cd6303fddcf,bddppq,"Merge pull request #62 from onnx/pr/osx-builds

ONNX builds for Mac OS X.",2017-10-03 18:52:25,setup.py conda/build.sh,5,1,bfeeb3de32c57cf523ce06dc7a36b6db6d8ed934 e525955dc7da13e3feac5cd79abcc9fc67f55fab,0,-7
87,68d12c3f6fd84920a80d221584bdaeedab92011f,houseroad,add the padding order description,2017-10-03 19:12:51,onnx/defs/tensor/defs.cc,4,1,587bb3efe530822a5d227ef7ba7144dc396c116d,0,-4
88,da6a371f0f2ed8ea2f9075f91ea55814bf83e0ab,dzhulgakov,"Merge pull request #73 from houseroad/add_op_pad

Add pad operator",2017-10-03 20:00:04,onnx/defs/tensor/defs.cc,40,0,68d12c3f6fd84920a80d221584bdaeedab92011f d8e5ff7766fe61bf82eddf8f8c2a4cd6303fddcf,0,-7
89,a111c6dbe009d4f28d1be86e188b7cdc93fa618f,donbox,More merge noise.,2017-10-03 21:06:53,onnx/onnx.proto,11,0,3c6b22d0b791b5685455bf2a4377dd2381fffe4c,0,-7
90,1e64a17f5a03056d7fffe7aeec7c959f6aee84a0,donbox,"Added support for complex64 and complex128 that are named by IR.md. (#57)

* Added support for complex64 and complex128 that are named by IR.md.

Added double for symmetry (given that we are supporting 64-bit doubles in complex128.

* Spec'ed support for complex64 and complex128 on TensorProto.float_data and TensorProto.double_data, respectively.

* Fixed merge noise

* Added uint64 support for TF and CoreML compat
Added double and uint64 attribute types for CoreML compat

* edit comment a bit

* Reverted double and uint64 attribute values per messenger thread.

* Added support for new scalar types to helper/numpy_helper.py

* Fixed typo

* Fixed build break",2017-10-04 16:14:58,onnx/onnx.proto onnx/numpy_helper.py onnx/helper.py,94,11,da6a371f0f2ed8ea2f9075f91ea55814bf83e0ab,0,-7
91,2bb80a6bed71be30bfedf9e81a63474fed3c252a,bddppq,Update autogenerated Operators doc,2017-10-04 20:19:48,docs/Operators.md,42,0,1e64a17f5a03056d7fffe7aeec7c959f6aee84a0,0,-7
92,f7dcb1b53e2ade0701d29a1de6f3f21fcfe45f98,bddppq,Add test for Pad operator,2017-10-04 23:55:42,onnx/backend/test.py,28,9,2bb80a6bed71be30bfedf9e81a63474fed3c252a,0,-7
93,fbbfe75713cfe6fad9a67bbecd87d3937036511f,bddppq,"Change Pad mode name ""replicate"" to ""edge"" to match numpy convention",2017-10-04 23:56:47,onnx/defs/tensor/defs.cc,1,1,f7dcb1b53e2ade0701d29a1de6f3f21fcfe45f98,0,-7
94,5ab7687a874b80bc9fd747c4decece1b355f6645,bddppq,Update doc,2017-10-04 23:58:31,docs/Operators.md,1,1,fbbfe75713cfe6fad9a67bbecd87d3937036511f,0,-7
95,5e8e4d98a8bb91aef5b7c582c9d2b837eef84f20,dzhulgakov,"Merge pull request #74 from bddppq/pad-test

Pad test",2017-10-05 03:59:56,docs/Operators.md onnx/defs/tensor/defs.cc onnx/backend/test.py,30,11,2bb80a6bed71be30bfedf9e81a63474fed3c252a 5ab7687a874b80bc9fd747c4decece1b355f6645,0,-7
