,Issue#,Title,Owner,Description,Labels,Reviewers,Assignees,Opened time,Closed time,Changed Files,Commits,Events,Participants,Number of Comments,Merged
15,20,Fix catching of exception.,nouiz,,,,,2011-09-01 15:55:55,2011-09-01 16:55:38,theano/gof/link.py,75ac7dc0ca4bccb1605ae2b4e4a3d236b6f7d90b,"nouiz subscribed 2011-09-01 15:55:55,odelalleau referenced 2011-09-01 16:55:38,odelalleau merged 2011-09-01 16:55:38,odelalleau subscribed 2011-09-01 16:55:38,odelalleau closed 2011-09-01 16:55:38,dwf subscribed 2011-09-01 17:20:25,abergeron referenced 2015-07-15 18:56:55,brandonwillard referenced 2020-08-02 01:47:37",brandonwillard dwf odelalleau abergeron nouiz,7,True
16,21,Allow Advancedsubtensor1 on gpu to also work on broadcated tensor. Add te,nouiz,"Allow Advancedsubtensor1 on gpu to also work on broadcated tensor. Add test.
",,,,2011-09-01 18:16:08,2011-09-06 20:57:33,theano/sandbox/cuda/basic_ops.py theano/tensor/tests/test_basic.py,3f4080b96334b82884db5bc00212e7ca8a4fc73c,"nouiz subscribed 2011-09-01 18:16:08,jaberg referenced 2011-09-06 20:57:32,jaberg merged 2011-09-06 20:57:33,jaberg subscribed 2011-09-06 20:57:33,jaberg closed 2011-09-06 20:57:33,lamblin referenced 2016-10-31 17:47:29,brandonwillard referenced 2020-09-27 15:20:31,brandonwillard referenced 2020-09-29 17:06:49",jaberg brandonwillard nouiz lamblin,0,True
17,22,Add some in-body comments about 'except Exception:' business.,dwf,"Make the motivation for this explicit so that it doesn't get reverted again.
",,,,2011-09-01 20:34:50,2011-09-01 20:51:55,theano/gof/link.py,3c2fb385b9afba5e3f46a5892d1fc95a09e37b03,"dwf subscribed 2011-09-01 20:34:50,odelalleau subscribed 2011-09-01 20:51:45,odelalleau referenced 2011-09-01 20:51:54,odelalleau merged 2011-09-01 20:51:55,odelalleau closed 2011-09-01 20:51:55,nouiz subscribed 2011-09-01 20:52:28,nouiz referenced 2013-05-23 18:59:48,brandonwillard referenced 2020-08-02 19:05:58",brandonwillard dwf nouiz odelalleau,3,True
18,23,Send the pylearn2 buildbot outputs.,nouiz,,,,,2011-09-02 17:38:15,2011-09-06 14:22:32,theano/misc/do_nightly_build_send,862a2008beed74955e7189eccb6aafff739e3dbd,"nouiz subscribed 2011-09-02 17:38:15,odelalleau subscribed 2011-09-02 18:29:10,goodfeli referenced 2011-09-06 14:22:32,goodfeli merged 2011-09-06 14:22:32,goodfeli subscribed 2011-09-06 14:22:32,goodfeli closed 2011-09-06 14:22:32",goodfeli odelalleau nouiz,2,True
19,25,Coding style,nouiz,"Doc about the coding style and remove comment that are there.
",,,,2011-09-06 18:52:30,2011-09-06 20:58:58,theano/gof/link.py doc/internal/dev_start_guide.txt,30bf42466009c42cd681de1eef0dd7244ae76fa5 61429e62853185b72eb801c6897ef303d4a44557 b131c29e1f4388e4f16f551d5e4633c7f129324f,"nouiz subscribed 2011-09-06 18:52:30,odelalleau subscribed 2011-09-06 19:19:48,jaberg referenced 2011-09-06 20:58:58,jaberg merged 2011-09-06 20:58:58,jaberg subscribed 2011-09-06 20:58:58,jaberg closed 2011-09-06 20:58:58,nouiz referenced 2013-10-15 15:24:41",jaberg odelalleau nouiz,2,True
20,26,New lazy ifelse,pascanur,"So this is a new version of the lazy if that comes with a few optimizations. It can do things like removing useless inputs, merging ifs that have same condition, lift ifs through computations. This is code I wrote some time ago, and I pushed just now.
",,,,2011-09-06 19:31:14,2011-11-16 17:49:22,theano/ifelse.py theano/tests/test_lazycond.py doc/cifarSC2011/advanced_theano.txt doc/tutorial/conditions.txt theano/gof/tests/test_lazy.py theano/tests/test_ifelse.py theano/lazycond.py,64e939fb26ccf44ab77916c360ed59410d4b0cba d18945d2d21be3b4fa9f55bfc8060e337050db83 20b3e1c8d02d7267f4a754da57a0a243b14f642e 4e5a061d7cd342db8bf48e712432de47cb67c513 dbaf4138f352ecd9544e87a31c961266ea4987d9 2e738c7660fd1554eafe479e25b67900793e3fdd 3fa037ed4ede24cf81dfad55e0d5de6a469a8a67 f5daf07afb82670e30b69f9ea4768064fae278b2 f085c52dbbf6ab452ebf1b0395800f1fac881d64 fdf645fa6665ba9d1021da230f4631e84fb21a6d 4105cbc14b7223c5bc7bed7865f470b9b4148c0e b69387d111020ea7f49c34fbf0748afdc47c92a9 2882a6ef4520ce679651604aa81e3077db3cdf0f 07e7a96663aad87241cc5ecaa270bd5624a74db0 615c35fc2c39079be8cd88c3af03d987f50e1e79 09b81fd773e86a5110c27055546e8fc526efcc14 411c0fbf924a403febab3c03aceb1a6d5a53fd16 f38ea59dcfa9fba733f8cf73cef9c0ba53e8659b 12a8390581d54995328067ae4aa2fe0642b35615 1e3fbca0594e84bcd70b8e28a702e79b454c5b6c 90539f66d6d572fe70b6dc35f3a28a1d0ddc6bbc e892a7ca6999bc465173cc10b379582e778d1fd3 5f75b22f99b0f51bc67df30340951001dd7e647f 5365ef49c5d6a4ba14b88b2128629f8958f70580 5a7edcc9a246c579f2732237c0293ad1b556b32a 5d203f4d2a25e84af96425b07be2ef7c4481f25c 3e4daa1abe878863e04336181b5e9e25c67f81fd 3c1461c66b6f955a22fe04bc5fd367e7586de20c,"pascanur subscribed 2011-09-06 19:31:15,goodfeli subscribed 2011-09-06 20:02:47,odelalleau subscribed 2011-09-07 13:49:28,jaberg subscribed 2011-10-11 16:04:06,dwf subscribed 2011-11-15 18:46:58,dwf closed 2011-11-16 17:48:45,dwf reopened 2011-11-16 17:49:19,dwf closed 2011-11-16 17:49:22,pascanur mentioned 2011-11-16 17:52:20,nouiz referenced 2013-12-16 18:41:30",odelalleau dwf goodfeli jaberg pascanur nouiz,33,False
21,27,"Add the dtype param to tensor.{zeros,ones}_like as numpy. Test them.",nouiz,,,,,2011-09-06 20:12:42,2011-09-06 20:16:22,theano/tensor/basic.py theano/tensor/tests/test_basic.py,a471fa659c60e1200e3b404019349a365a208907,"nouiz subscribed 2011-09-06 20:12:42,goodfeli referenced 2011-09-06 20:16:22,goodfeli merged 2011-09-06 20:16:22,goodfeli subscribed 2011-09-06 20:16:22,goodfeli closed 2011-09-06 20:16:22",goodfeli nouiz,0,True
22,28,Fix the broken test for GPU,abergeron,,,,,2011-09-07 17:43:55,2011-09-07 17:44:48,theano/opencl/conf.py theano/opencl/__init__.py theano/opencl/type.py theano/opencl/basic_ops.py theano/opencl/var.py,a9918a4591ff1a4a405c6a127b6b1c5e279b6baa,"abergeron subscribed 2011-09-07 17:43:55,abergeron closed 2011-09-07 17:44:48,goodfeli subscribed 2011-09-07 17:57:05,abergeron head_ref_deleted 2014-01-16 18:29:45,nouiz referenced 2014-02-24 21:29:13",goodfeli abergeron nouiz,3,False
23,29,Make sure the gpu part is only tested when we are actually running on a GPU,abergeron,,,,,2011-09-07 17:45:37,2011-09-07 19:14:14,theano/sandbox/cuda/tests/test_var.py,2e4f6ea3c38e46a0df6a10391b2954ae08c26675,"abergeron subscribed 2011-09-07 17:45:37,jaberg subscribed 2011-09-07 17:48:40,nouiz referenced 2011-09-07 19:14:14,nouiz merged 2011-09-07 19:14:14,nouiz subscribed 2011-09-07 19:14:14,nouiz closed 2011-09-07 19:14:14,abergeron referenced 2011-10-19 22:11:04,abergeron head_ref_deleted 2014-01-16 18:27:28",jaberg abergeron nouiz,2,True
24,30,Doc,nouiz,"Some updates to the docs
",,,,2011-09-07 18:06:08,2011-09-07 18:16:27,doc/library/tensor/basic.txt theano/tensor/tests/test_rop.py doc/internal/dev_start_guide.txt,6882c961bce7ab0377d5c48f9cb9bc852b7e7e83 26a1022e3a7ab99c9341fa52604b13781edfe406 e3524afc0f67964659ab5676c93717bea6105054 2bd20f480194737bd08a1d461605f0699f64a883,"nouiz subscribed 2011-09-07 18:06:09,goodfeli referenced 2011-09-07 18:16:27,goodfeli merged 2011-09-07 18:16:27,goodfeli subscribed 2011-09-07 18:16:27,goodfeli closed 2011-09-07 18:16:27",goodfeli nouiz,0,True
25,31,Doc sparse,nouiz,,,,,2011-09-07 18:49:05,2011-09-07 19:00:42,doc/library/sparse/index.txt doc/library/index.txt theano/sparse/basic.py doc/library/sparse/sandbox.txt,187be3e1f31a1246c09430562b599c125f9cbbd4 a35df410b59ee274053eb1b6ca7fc5e322737b8e,"nouiz subscribed 2011-09-07 18:49:05,goodfeli referenced 2011-09-07 19:00:42,goodfeli merged 2011-09-07 19:00:42,goodfeli subscribed 2011-09-07 19:00:42,goodfeli closed 2011-09-07 19:00:42,brandonwillard referenced 2020-08-28 01:46:21",goodfeli brandonwillard nouiz,0,True
26,32,Add link in the tutorial to all random distribution.,nouiz,,,,,2011-09-08 14:54:51,2011-09-08 14:56:50,doc/tutorial/examples.txt,44f449f0adfeccd8b9951e08dd609930acf02e55,"nouiz subscribed 2011-09-08 14:54:51,goodfeli referenced 2011-09-08 14:56:50,goodfeli merged 2011-09-08 14:56:50,goodfeli subscribed 2011-09-08 14:56:50,goodfeli closed 2011-09-08 14:56:50,brandonwillard referenced 2020-09-17 00:59:38",goodfeli brandonwillard nouiz,0,True
27,33,added a config variable to control the verbosity of exceptions,goodfeli,"Currently I have not changed any exceptions to obey this config variable. This pull request only introduces the config variable.
",,,,2011-09-09 14:17:26,2011-09-13 02:13:38,theano/tensor/basic.py theano/configdefaults.py doc/library/config.txt,d9dc3b1af947cd9ae08015e257d74e414c71cde2 60845fdf1291dac11e76999d41ef0529c1432a6e c8bd9897e9ea858d888f5a54fe9eb151b1e574d0 8583f1f9e959c8c4a64408dd0b1fa1c459a4af79 4b876df8af3ab580659f779f1432c4940d1518bc 290805f76a71e87be95c7a1a751a85ede72783c8 f326a6e1330d7fe244e9d763237d2ea7a007a69d,"goodfeli subscribed 2011-09-09 14:17:26,odelalleau subscribed 2011-09-09 15:02:31,odelalleau mentioned 2011-09-09 15:22:26,odelalleau mentioned 2011-09-12 21:21:16,nouiz mentioned 2011-09-12 21:21:16,nouiz subscribed 2011-09-12 21:21:16,odelalleau mentioned 2011-09-13 01:29:52,odelalleau referenced 2011-09-13 02:13:38,odelalleau merged 2011-09-13 02:13:38,odelalleau closed 2011-09-13 02:13:38",goodfeli odelalleau nouiz,7,True
28,34,Add test for new fonctionality added by James.,nouiz,,,,,2011-09-09 15:23:35,2011-09-09 15:25:40,theano/tensor/tests/test_basic.py,24f3ef98f0f8fefcfef54d24e0138f153007e1e9,"nouiz subscribed 2011-09-09 15:23:35,goodfeli referenced 2011-09-09 15:25:40,goodfeli subscribed 2011-09-09 15:25:40,goodfeli merged 2011-09-09 15:25:40,goodfeli closed 2011-09-09 15:25:40,nouiz referenced 2015-01-22 15:02:02",goodfeli nouiz,0,True
29,35,Force gpu test to execute on gpu!,nouiz,,,,,2011-09-09 16:31:11,2011-09-09 16:50:14,theano/sandbox/cuda/tests/test_basic_ops.py,e309ee2bae71829dd1000f1d96e1d57fe2990a46,"nouiz subscribed 2011-09-09 16:31:11,jaberg closed 2011-09-09 16:50:14,jaberg subscribed 2011-09-09 16:50:14",jaberg nouiz,0,False
30,36,Rop has as many outputs as f and Lop as wrt which needs to be reflected i,pascanur,"Rop has as many outputs as f and Lop as wrt. Therefore using_list or using_tuple should be decided based on f for Rop and based on wrt for Lop. 
",,,,2011-09-10 05:35:44,2011-11-29 14:28:20,theano/tensor/tensor_grad.py,a30c4702668e9d4df08ed94cf5fbf3e3df18fc87 e811c907c8d6bcbde9a70b29aac8a3f43b3f4644 fbd20deb711522322bcda8489c0d696369d70eca,"pascanur subscribed 2011-09-10 05:35:44,nouiz subscribed 2011-11-26 15:16:27,goodfeli subscribed 2011-11-29 14:28:20,goodfeli closed 2011-11-29 14:28:20",goodfeli pascanur nouiz,1,False
31,38,first round of changes from str to basestring (#37),olivierverdier,"I changed the ones that I could easily test. Please change the rest of the `isinstance(*,str)` as it does not make much sense to ensure that a string is a byte string and not a unicode string. I would do that but I'm not sure how to test that properly...
",,,,2011-09-13 15:45:26,2011-09-13 16:03:08,theano/gof/graph.py theano/compile/debugmode.py theano/compile/io.py theano/tests/test_tutorial.py theano/compile/mode.py,14d6609cd10ef6ed17fff739aeb3c60b6d80ccee,"olivierverdier subscribed 2011-09-13 15:45:26,dwf subscribed 2011-09-13 16:03:08,dwf closed 2011-09-13 16:03:08,brandonwillard referenced 2020-09-17 00:59:38",brandonwillard dwf olivierverdier,3,False
