,Issue#,Title,Owner,Description,Labels,Assignees,Opened time,Closed time,Events,Participants,Number of Comments
308,360,Numerical stabilization for log1mexp,ricardoV94,"We have a manual implementation on the PyMC side that stabilizes the operation `log(1 - exp(x))` by switching between `log1p` and `expm1` depending on where x lies:
 https://github.com/ricardoV94/pymc3/blob/d7f82a85dce9e0874f73dd6d48b096d5f8792313/pymc3/math.py#L221

This could be a simple and nice automatic rewrite to add to aesara that users could benefit from. It appears frequently when working with log cdfs for instance.

What would it require? Implementing a specific OP would be straightforward. But do we even need it or can rewrites just change one expression for another?

PS: I don't think aesara already does this one, but I will double check.",good first issue,ricardoV94,2021-04-03 04:29:33,2021-07-01 20:46:06,"ricardoV94 mentioned 2021-04-03 18:45:38,ricardoV94 subscribed 2021-04-03 18:45:38,ricardoV94 labeled 2021-04-06 07:56:13,ricardoV94 assigned 2021-06-23 10:14:06,ricardoV94 referenced 2021-06-23 15:09:20,ricardoV94 referenced 2021-06-23 16:48:30,ricardoV94 referenced 2021-06-23 16:49:30,ricardoV94 referenced 2021-06-23 16:56:52,ricardoV94 referenced 2021-06-25 06:46:37,ricardoV94 referenced 2021-06-25 17:51:46,ricardoV94 referenced 2021-06-25 18:00:02,ricardoV94 referenced 2021-06-27 16:44:04,ricardoV94 referenced 2021-06-30 11:15:50,ricardoV94 referenced 2021-07-01 08:45:18,ricardoV94 referenced 2021-07-01 08:50:26,brandonwillard closed 2021-07-01 20:46:06,brandonwillard referenced 2021-07-01 20:46:07",ricardoV94 twiecki brandonwillard,6
309,361,Add an option to skip type filtering during function evaluation,brandonwillard,"When evaluating a function compiled with `aesara.function`, the arguments are filtered and type checked during every call (see [here](https://github.com/pymc-devs/aesara/blob/06c179267ed26b365090760a1c7d4239b7153d85/aesara/compile/function/types.py#L861)).  In some cases, this overhead is unnecessary (e.g. tight loops with well controlled inputs), so we should provide an option to skip that step.

N.B.: We'll need to do a side-by-side performance comparison of this, as well.
",enhancement good first issue help wanted,,2021-04-03 20:32:01,2022-08-04 16:55:10,"brandonwillard labeled 2021-04-03 20:32:01,brandonwillard labeled 2021-04-03 20:32:01,brandonwillard labeled 2021-04-03 20:32:01,brandonwillard closed 2022-08-04 16:55:10",ricardoV94 brandonwillard,4
316,369,Add `dtype` option to `as_tensor_variable`,michaelosthege,"As commented by @brandonwillard in https://github.com/pymc-devs/aesara/pull/367#pullrequestreview-633036110 - please edit to add more information/context if applicable.

`as_tensor_variable` is kinda like the Aesara equivalent for `np.array`.

A `dtype` option would make a lot of code more concise.
It does raise the question whether there should be settings to configure casting behavior:
+ of non-`Variables`
+ of `Variables` to a different dtype",enhancement good first issue,,2021-04-11 19:00:53,2021-04-12 04:16:03,"michaelosthege labeled 2021-04-11 19:00:53,michaelosthege labeled 2021-04-11 19:00:53,brandonwillard mentioned 2021-04-11 19:00:53,brandonwillard subscribed 2021-04-11 19:00:53,brandonwillard closed 2021-04-12 04:16:03",michaelosthege brandonwillard,1
320,373,`Op` conversions for `NumbaLinker`,kc611,"This issue is to track and discuss the `Op`s we want to implement in Numba via #372.

The currently supported Ops in Numba are:

- `ScalarOp`
  - Needs testing for all of the derivative `Op`s
  - SciPy `Op`s are not supported until `numba-scipy` is fixed.  See https://github.com/numba/numba-scipy/pull/54.
- `Elemwise`
  - ~Needs proper vectorization. (https://github.com/brandonwillard/aesara/pull/1#discussion_r612915559)~ `numba.vectorize` is being used, but there's still a question about whether or not we should be vectorizing the NumPy `Op`s, or their basic scalar counterparts (e.g. `+`, `-`, `/`, etc.).
- `Composite`
- `*Subtensor*`
  - ~Currently, `AdvancedSubtensor` only works for indices without `slice`s, because Numba needs to jump into Python (i.e. object mode) in order to perform the advanced NumPy indexing, and, when it does this, the `MakeSlice` `Op` is used to construct the non-symbolic `slice` object; however, `MakeSlice` needs to box its native `slice` object in order for its result to be used in object mode.~
  - `*IncSubtensor*` support will be available once https://github.com/pymc-devs/aesara/pull/380 is merged.
- `MakeSlice`
  - ~See the `AdvancedSubtensor` issue, and https://github.com/numba/numba/issues/6931.~
- `DeepCopyOp`",help wanted important Numba,,2021-04-14 05:34:43,2021-05-10 20:29:11,"brandonwillard labeled 2021-04-14 05:41:06,brandonwillard labeled 2021-04-14 05:41:06,brandonwillard labeled 2021-04-14 05:41:06,aseyboldt mentioned 2021-04-14 10:10:21,aseyboldt subscribed 2021-04-14 10:10:21,aseyboldt mentioned 2021-04-14 12:48:45,aseyboldt subscribed 2021-04-14 12:48:45,brandonwillard renamed 2021-04-14 17:31:14,aseyboldt unsubscribed 2021-04-14 18:05:16,aseyboldt mentioned 2021-04-14 18:10:58,aseyboldt subscribed 2021-04-14 18:10:58,brandonwillard pinned 2021-04-15 05:02:09,brandonwillard unpinned 2021-05-10 20:27:37,brandonwillard closed 2021-05-10 20:29:11",aseyboldt kc611 twiecki brandonwillard,4
322,378,Move `aesara.tensor.nnet.sigm` to `aesara.[scalar|tensor].*`,brandonwillard,"The `Op`s and optimizations in `aesara.tensor.nnet.sigm` belong in `aesara.tensor.*`, `aesara.scalar.*`, etc.  

More specifically, the `UnaryScalarOp`s (e.g. [`Sigmoid`](https://github.com/pymc-devs/aesara/blob/master/aesara/tensor/nnet/sigm.py#L29)) belong in `aesara.scalar.basic_scipy`, the corresponding `Elemwise`s belong in `aesara.tensor.math` (e.g. [`sigmoid`](https://github.com/pymc-devs/aesara/blob/master/aesara/tensor/nnet/sigm.py#L180)), the inplace `Elemwise`s belong in `aesara.tensor.inplace` (e.g. [`sigmoid_inplace`](https://github.com/pymc-devs/aesara/blob/master/aesara/tensor/nnet/sigm.py#L182)), and the optimizations belong in `aesara.tensor.math_opt` (e.g. [`local_ultra_fast_sigmoid`](https://github.com/pymc-devs/aesara/blob/master/aesara/tensor/nnet/sigm.py#L268)). 

We also need to be able to access these `Op`s via their SciPy names (e.g. `expit = sigmoid`).",good first issue help wanted refactor,ricardoV94,2021-04-16 22:57:55,2021-05-09 11:07:59,"brandonwillard labeled 2021-04-16 22:57:55,brandonwillard labeled 2021-04-16 22:57:55,brandonwillard labeled 2021-04-16 22:57:55,ricardoV94 assigned 2021-04-23 17:52:47,twiecki closed 2021-05-09 11:07:59",ricardoV94 twiecki brandonwillard,2
323,379,Move scalar type instances and classes to a new `aesara.scalars.type` module,brandonwillard,"The [`Scalar`](https://github.com/pymc-devs/aesara/blob/master/aesara/scalar/basic.py#L318) `Type` class should match `aesara.tensor.type` and be in its own module, along with all the instances of `Scalar` (e.g. [`bool`](https://github.com/pymc-devs/aesara/blob/master/aesara/scalar/basic.py#L721), [`int8`](https://github.com/pymc-devs/aesara/blob/master/aesara/scalar/basic.py#L722), etc.)

We might also want to rename `aesara.scalar.basic_scipy` to `aesara.scalar.math`, like the `aesara.tensor.math` module.

As always, we'll need to update the corresponding test files to match the new modules.

",good first issue help wanted refactor,,2021-04-16 23:04:45,2021-06-01 17:32:26,"brandonwillard labeled 2021-04-16 23:04:45,brandonwillard labeled 2021-04-16 23:04:45,brandonwillard labeled 2021-04-16 23:04:45,brandonwillard connected 2021-05-29 19:32:00,ricardoV94 closed 2021-06-01 17:32:26",ricardoV94 brandonwillard,0
325,381,Enable in-place for `AdvancedIncSubtensor`,brandonwillard,"For some reason specifying `inplace=True` raises a `NotImplementedError` in the constructor of `AdvancedIncSubtensor`.

It's not clear to me why this should be disabled, so we should enable it, because&mdash;without it&mdash;`AdvancedIncSubtensor` copies the entire array every time `Op.perform` is called.",enhancement important,,2021-04-18 00:30:55,2021-04-18 03:44:44,"brandonwillard labeled 2021-04-18 00:30:55,brandonwillard labeled 2021-04-18 00:30:55,brandonwillard closed 2021-04-18 03:44:44",brandonwillard,0
331,387,"'DisconnectedType' object has no attribute 'dtype', in Theano gradient.py ",AmericaBG,"Hi!
I'm having an error with Theano and when I've written my issue in this project https://github.com/Theano/Theano/issues/6774#issue-867541871
I've been redirected here.

My problem is the next:
![image](https://user-images.githubusercontent.com/49905756/116207650-68078180-a740-11eb-9cd5-7168c14a0d62.png)
Could you help me to solve it please?

Thank you very much in advance :)
",MWE needed,,2021-04-27 08:08:08,2021-10-25 17:33:53,"AmericaBG mentioned 2021-05-03 07:33:24,AmericaBG subscribed 2021-05-03 07:33:24,brandonwillard labeled 2021-05-23 02:45:10,brandonwillard closed 2021-10-25 17:33:53",AmericaBG twiecki brandonwillard,2
333,390,Infer `RandomVariable` broadcastable pattern when `size` has a `Cast`,brandonwillard,"In the following example, the broadcast pattern isn't inferred because of a `Cast` in `size`:
```python
import aesara.tensor as at
import aesara.tensor.random.basic as ar


size_at = at.cast([3.0, 1.0], ""int64"")
# or
# size_at = at.cast([at.scalar(), 1.0], ""int64"")

norm_at = ar.normal(0, 1, size=size_at)
```
```python
>>> norm_at.type
TensorType(float64, matrix)
```

One solution could involve lifting the `Cast` `Op`, or&mdash;for this exact case&mdash;canonicalizing the graph for `size` would remove the `Cast` altogether.",bug enhancement good first issue help wanted important,michaelosthege,2021-04-29 23:16:06,2021-05-23 23:25:33,"brandonwillard labeled 2021-04-29 23:16:06,brandonwillard labeled 2021-04-29 23:16:06,brandonwillard mentioned 2021-05-03 07:37:30,brandonwillard subscribed 2021-05-03 07:37:30,twiecki labeled 2021-05-03 07:37:41,twiecki labeled 2021-05-03 07:37:41,brandonwillard labeled 2021-05-09 22:16:36,brandonwillard mentioned 2021-05-09 22:16:52,brandonwillard subscribed 2021-05-09 22:16:52,michaelosthege assigned 2021-05-11 14:09:56,brandonwillard mentioned 2021-05-14 22:18:57,brandonwillard subscribed 2021-05-14 22:18:57,brandonwillard referenced 2021-05-23 21:17:43,brandonwillard connected 2021-05-23 21:30:15,brandonwillard closed 2021-05-23 23:25:33,brandonwillard referenced 2021-05-23 23:25:34",michaelosthege twiecki brandonwillard,3
338,395,`local_useless_subtensor` optimization fails when broadcasting differs between old/new graph,michaelosthege,"## Problem description
I don't have a minimum example yet, but I think it's quite clear from the error output:

```
  Value Type: <class 'NoneType'>
  Old Value:  None
  New Value:  None
  Reason:  local_useless_subtensor. The type of the replacement must be the same.
  Old Graph:
  AdvancedSubtensor1 [id A] <TensorType(float64, (True,))> ''   
   |Subtensor{int64} [id B] <TensorType(float64, vector)> ''   
...

  New Graph:
  Subtensor{int64} [id B] <TensorType(float64, vector)> ''  
```
Note that `AdvancedSubtensor1` return type is `TensorType(float64, (True,))`, but its input is `TensorType(float64, vector)`.

## Versions and main components
* ❌  `theano-pymc 1.1.2`
* ❓  `aesara 2.x`",bug graph rewriting MWE needed,,2021-05-06 11:19:29,2021-10-25 17:33:26,"michaelosthege labeled 2021-05-06 11:19:29,michaelosthege labeled 2021-05-06 11:19:29,brandonwillard labeled 2021-05-06 17:06:15,brandonwillard closed 2021-10-25 17:33:26",michaelosthege brandonwillard,2
342,399,Remove deprecated `Flatten` and `Tile` `Op`s,brandonwillard,The [`Flatten`](https://github.com/pymc-devs/aesara/blob/f2ecc2e52cb704cacc1b4642fb0bf9c849bd975f/aesara/tensor/basic.py#L2859) and [`Tile`](https://github.com/pymc-devs/aesara/blob/f2ecc2e52cb704cacc1b4642fb0bf9c849bd975f/aesara/tensor/basic.py#L3090) `Op`s are deprecated and need to be removed.,good first issue help wanted,,2021-05-10 00:00:01,2022-05-12 20:55:17,"brandonwillard labeled 2021-05-10 00:00:01,brandonwillard labeled 2021-05-10 00:00:01,brandonwillard renamed 2021-05-10 00:00:52,brandonwillard renamed 2021-05-10 00:01:03,ricardoV94 closed 2022-05-12 20:55:17",hectormz ricardoV94 brandonwillard,3
343,400,Create a `Scan` `Op` conversion for Numba,brandonwillard,"The `Scan` `Op` needs a Numba conversion.

In the course of implementing this, we may also want to update `Scan`, since that's already long overdue.",important Numba Scan,,2021-05-10 20:30:51,2021-10-09 17:42:48,"brandonwillard labeled 2021-05-10 20:30:51,brandonwillard labeled 2021-05-10 20:30:51,brandonwillard mentioned 2021-05-11 12:57:15,brandonwillard subscribed 2021-05-11 12:57:15,brandonwillard mentioned 2021-05-11 19:03:31,brandonwillard subscribed 2021-05-11 19:03:31,brandonwillard milestoned 2021-05-19 23:16:58,brandonwillard labeled 2021-09-12 22:34:31,brandonwillard connected 2021-10-06 17:32:12,brandonwillard closed 2021-10-09 17:42:48",twiecki brandonwillard,3
344,401,Create an `IfElse` `Op` conversion for `Numba`,brandonwillard,We need a Numba conversion for the `IfElse` `Op`.,help wanted Numba,,2021-05-10 20:32:12,2021-10-19 00:59:12,"brandonwillard labeled 2021-05-10 20:32:12,brandonwillard labeled 2021-05-10 20:32:12,brandonwillard milestoned 2021-05-19 23:16:58,brandonwillard closed 2021-10-19 00:59:12",brandonwillard,0
345,402,Numba conversions for `RandomVariable`,brandonwillard,We need a Numba implementation of the `RandomVariable` `Op`s and the `RandomState` `Type`.,important Numba,kc611,2021-05-10 20:33:45,2021-06-25 22:52:39,"brandonwillard labeled 2021-05-10 20:33:45,brandonwillard labeled 2021-05-10 20:33:45,kc611 assigned 2021-05-10 21:20:56,kc611 connected 2021-05-11 12:21:09,brandonwillard milestoned 2021-05-19 23:16:58,brandonwillard closed 2021-06-25 22:52:39",kc611 brandonwillard,0
348,406,Ability to serialize aesara graphs,twiecki,,enhancement MWE needed,,2021-05-12 13:12:55,2021-10-25 17:35:27,"twiecki labeled 2021-05-12 13:12:55,brandonwillard labeled 2021-05-12 15:45:39,brandonwillard closed 2021-10-25 17:35:27",twiecki brandonwillard,2
349,407,PyMC3 Fails on Windows Python 3.8 (Aesara dll imports),hectormz,"## Description of your problem

Running `pymc3` on Windows fails for me when using python 3.8. Running the same code with same package versions on my machine with python 3.7 works. From what I can tell, this is a `Aesara` issue and not specifically a `pymc3` problem, but figured other users might find this issue in the future. I believe it is related to finding my `gcc` dlls, as it works if I add the `gcc` directory below.

It seems that the resolution of DLLs has changed in Python 3.8 for Windows:

> New in version 3.8: Previous versions of CPython would resolve DLLs using the default behavior for the current process. This led to inconsistencies, such as only sometimes searching PATH or the current working directory, and OS functions such as AddDllDirectory having no effect.

> DLL dependencies for extension modules and DLLs loaded with ctypes on Windows are now resolved more securely. Only the system paths, the directory containing the DLL or PYD file, and directories added with add_dll_directory() are searched for load-time dependencies. Specifically, PATH and the current working directory are no longer used, and modifications to these will no longer have any effect on normal DLL resolution. If your application relies on these mechanisms, you should check for add_dll_directory() and if it exists, use it to add your DLLs directory while loading your library. Note that Windows 7 users will need to ensure that Windows Update KB2533623 has been installed (this is also verified by the installer). (Contributed by Steve Dower in bpo-36085.)

* https://bugs.python.org/issue36085
* https://docs.python.org/3/whatsnew/3.8.html#bpo-36085-whatsnew
* https://docs.python.org/3/library/os.html#os.add_dll_directory



This is not a problem with `Anaconda`, which could be a solution for some folks.


**Please provide a minimal, self-contained, and reproducible example.**
```python
import pymc3 as pm
import numpy as np


# set the seed
np.random.seed(1)

n = 100 # The number of data points
X = np.linspace(0, 10, n)[:, None] # The inputs to the GP, they must be arranged as a column vector

# Define the true covariance function and its parameters
ℓ_true = 1.0
η_true = 3.0
cov_func = η_true**2 * pm.gp.cov.Matern52(1, ℓ_true)

# A mean function that is zero everywhere
mean_func = pm.gp.mean.Zero()

# The latent function values are one sample from a multivariate normal
# Note that we have to call `eval()` because PyMC3 built on top of Theano
f_true = np.random.multivariate_normal(mean_func(X).eval(),
                                       cov_func(X).eval() + 1e-8*np.eye(n), 1).flatten()

# The observed data is the latent function plus a small amount of T distributed noise
# The standard deviation of the noise is `sigma`, and the degrees of freedom is `nu`
e_true = 2.0
η_true = 3.0
y = f_true + e_true * np.random.standard_t(η_true, size=n)


with pm.Model() as model:
    ℓ = pm.Gamma(""ℓ"", alpha=2, beta=1)
    η = pm.HalfCauchy(""η"", beta=1)

    cov = η ** 2 * pm.gp.cov.Matern52(1, ℓ)
    gp = pm.gp.Latent(cov_func=cov)

    f = gp.prior(""f"", X=X)

    σ = pm.HalfCauchy(""σ"", beta=5)
    ν = pm.Gamma(""ν"", alpha=2, beta=0.1)
    y_ = pm.StudentT(""y"", mu=f, lam=1.0 / σ, nu=ν, observed=y)

    trace = pm.sample(1000, chains=2, cores=1, return_inferencedata=True)
```

**Please provide the full traceback.**
```python
WARNING (aesara.tensor.blas): Using NumPy C-API based implementation for BLAS functions.
Traceback (most recent call last):
  File ""latent_var.py"", line 22, in <module>
    f_true = np.random.multivariate_normal(mean_func(X).eval(),
  File ""C:\\Users\\hectormz\\.virtualenvs\\pymc3-venv-38\\lib\\site-packages\\aesara\\gof\\graph.py"", line 522, in eval
    self._fn_cache[inputs] = aesara.function(inputs, self)
  File ""C:\\Users\\hectormz\\.virtualenvs\\pymc3-venv-38\\lib\\site-packages\\aesara\\compile\\function.py"", line 306, in function
    fn = pfunc(params=inputs,
  File ""C:\\Users\\hectormz\\.virtualenvs\\pymc3-venv-38\\lib\\site-packages\\aesara\\compile\\pfunc.py"", line 483, in pfunc
    return orig_function(inputs, cloned_outputs, mode,
  File ""C:\\Users\\hectormz\\.virtualenvs\\pymc3-venv-38\\lib\\site-packages\\aesara\\compile\\function_module.py"", line 1841, in orig_function
    fn = m.create(defaults)
  File ""C:\\Users\\hectormz\\.virtualenvs\\pymc3-venv-38\\lib\\site-packages\\aesara\\compile\\function_module.py"", line 1714, in create
    _fn, _i, _o = self.linker.make_thunk(
  File ""C:\\Users\\hectormz\\.virtualenvs\\pymc3-venv-38\\lib\\site-packages\\aesara\\gof\\link.py"", line 697, in make_thunk
    return self.make_all(input_storage=input_storage,
  File ""C:\\Users\\hectormz\\.virtualenvs\\pymc3-venv-38\\lib\\site-packages\\aesara\\gof\\vm.py"", line 1087, in make_all
    thunks.append(node.op.make_thunk(node,
  File ""C:\\Users\\hectormz\\.virtualenvs\\pymc3-venv-38\\lib\\site-packages\\aesara\\gof\\op.py"", line 954, in make_thunk
    return self.make_c_thunk(node, storage_map, compute_map,
  File ""C:\\Users\\hectormz\\.virtualenvs\\pymc3-venv-38\\lib\\site-packages\\aesara\\gof\\op.py"", line 857, in make_c_thunk
    outputs = cl.make_thunk(input_storage=node_input_storage,
  File ""C:\\Users\\hectormz\\.virtualenvs\\pymc3-venv-38\\lib\\site-packages\\aesara\\gof\\cc.py"", line 1215, in make_thunk
    cthunk, module, in_storage, out_storage, error_storage = self.__compile__(
  File ""C:\\Users\\hectormz\\.virtualenvs\\pymc3-venv-38\\lib\\site-packages\\aesara\\gof\\cc.py"", line 1153, in __compile__
    thunk, module = self.cthunk_factory(error_storage,
  File ""C:\\Users\\hectormz\\.virtualenvs\\pymc3-venv-38\\lib\\site-packages\\aesara\\gof\\cc.py"", line 1623, in cthunk_factory
    module = get_module_cache().module_from_key(
  File ""C:\\Users\\hectormz\\.virtualenvs\\pymc3-venv-38\\lib\\site-packages\\aesara\\gof\\cmodule.py"", line 1189, in module_from_key
    module = lnk.compile_cmodule(location)
  File ""C:\\Users\\hectormz\\.virtualenvs\\pymc3-venv-38\\lib\\site-packages\\aesara\\gof\\cc.py"", line 1520, in compile_cmodule
    module = c_compiler.compile_str(
  File ""C:\\Users\\hectormz\\.virtualenvs\\pymc3-venv-38\\lib\\site-packages\\aesara\\gof\\cmodule.py"", line 2405, in compile_str
    return dlimport(lib_filename)
  File ""C:\\Users\\hectormz\\.virtualenvs\\pymc3-venv-38\\lib\\site-packages\\aesara\\gof\\cmodule.py"", line 317, in dlimport
    rval = __import__(module_name, {}, {}, [module_name])
ImportError: DLL load failed while importing m8f27cf6f6495a72b3883db0ff3f5d581f67a3adfd26460692f0372611b85620b: The specified module could not be found.
```

**Please provide any additional information below.**

I can fix this by adding the following chunk to https://github.com/pymc-devs/aesara/blob/2d3cb77530f8b80f60767c187ac6913740d0d996/aesara/link/c/cmodule.py#L289

```python
    if (sys.platform == ""win32"") & (hasattr(os, 'add_dll_directory')):
        gcc_path = shutil.which('gcc')
        if gcc_path is not None:
            os.add_dll_directory(os.path.dirname(gcc_path))
```
I'm sure this fix could go somewhere upstream, since `dlimport()` is called repeatedly

## Versions and main components

* Aesara version: 2.0.7
* Aesara config (`python -c ""import aesara; print(aesara.config)""`)
```
[gcc]
cxxflags = -D_hypot=hypot
```
* Python version: 3.8.9
* Operating system: Windows 10
* How did you install Aesara: pip
",bug C-backend Windows,,2021-05-12 14:47:50,2021-05-13 07:51:16,"brandonwillard labeled 2021-05-12 15:44:34,brandonwillard labeled 2021-05-12 15:44:34,brandonwillard labeled 2021-05-12 15:44:34,hectormz mentioned 2021-05-12 16:23:51,hectormz subscribed 2021-05-12 16:23:51,twiecki closed 2021-05-13 07:51:17",brandonwillard twiecki hectormz,2
351,409,Ability to set Numba's `parallel` and `fastmath` options ,twiecki,"`numba.njit(parallel=True, fastmath=True)` can give great speed-ups. Would be nice to be able to run aesara with these flags.",enhancement help wanted Numba,,2021-05-13 08:47:37,2022-08-04 16:23:56,"twiecki labeled 2021-05-13 08:47:37,brandonwillard milestoned 2021-05-19 23:16:58,brandonwillard renamed 2021-11-08 23:40:19,brandonwillard demilestoned 2021-11-08 23:40:46,brandonwillard labeled 2021-11-08 23:40:52,brandonwillard labeled 2021-11-08 23:40:52,brandonwillard connected 2021-11-08 23:41:23,brandonwillard closed 2022-08-04 16:23:56",twiecki brandonwillard,3
